requirement_id,native_symbol,test_id,boost_case,source_file,evidence_tier,live_gap
HCP/1 envelope,HcpBodyId/HcpSign/HcpVerify,HCP-FRM-01,hcp_frm_01_canonical_statement_round_trip,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,
BTX-PJSON1,DecodePjson1,HCP-FRM-02,hcp_frm_02_parser_differential_rejection,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,third-parser process NOT_RUN
Domain separation,HcpDomain,HCP-FRM-03,hcp_frm_03_domain_separation,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,
No auto-enroll,PreviewProvider,HCP-FRM-04,hcp_frm_04_unknown_provider_self_signature,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,
Key rotation,RotateOperationalKey,HCP-FRM-05,hcp_frm_05_operational_key_rotation,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,
Origin rebinding,FetchUrl,HCP-FRM-06,hcp_frm_06_origin_rebinding,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,live HTTP redirect NOT_RUN
Body bounds,max_body_bytes,HCP-FRM-07,hcp_frm_07_size_and_structural_bounds,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,
Role separation,HcpVerify,HCP-FRM-08,hcp_frm_08_role_separation_across_signatures,src/test/modelnet_hcp_frm_tests.cpp,NATIVE_UNIT,
PKCE,LabAuthorize/LabToken,HCP-AUTH-01,hcp_auth_01_authorization_code_pkce,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
DPoP,LabDpop,HCP-AUTH-02,hcp_auth_02_sender_constrained_token_theft,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
Audience,LabToken audience,HCP-AUTH-03,hcp_auth_03_audience_enforcement,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
Scope,Handle 401,HCP-AUTH-04,hcp_auth_04_scope_escalation,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
Tenant isolation,404 no leak,HCP-AUTH-05,hcp_auth_05_tenant_object_isolation,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
DPoP not approval,INTENT_DIGEST,HCP-AUTH-06,hcp_auth_06_dpop_is_not_body_approval,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
Revoke refresh,LabRevokeRefresh,HCP-AUTH-07,hcp_auth_07_refresh_and_revocation,src/test/modelnet_hcp_auth_tests.cpp,OAUTH_LAB,live CEX IdP NOT_RUN
Secret sweep,ExportPublic,HCP-AUTH-08,hcp_auth_08_secret_leakage_sweep,src/test/modelnet_hcp_auth_tests.cpp,NATIVE_UNIT,
Local grant required,AcceptHandoff,HCP-GRANT-01,hcp_grant_01_handoff_without_local_grant,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,
Finite first-use,EnsureLocal,HCP-GRANT-02,hcp_grant_02_finite_first_use_convenience,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,
Hosted policy != grant,HCP_ERR_POLICY_FINANCE,HCP-GRANT-03,hcp_grant_03_financial_policy_cannot_launch,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,
Grant cannot spend,local_grant_id,HCP-GRANT-04,hcp_grant_04_local_grant_cannot_spend,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,live ledger NOT_RUN
Revocation race,RevokeLocalGrant,HCP-GRANT-05,hcp_grant_05_revocation_race,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,concurrent workers NOT_RUN
Resource ceilings,EnsureLocal,HCP-GRANT-06,hcp_grant_06_resource_ceilings,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,dual-job host ceiling NOT_RUN
Future issuer scope,SignAsProvider publisher-q,HCP-GRANT-07,hcp_grant_07_future_issuer_scope,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,
Deadline does not relax,PlanLocal,HCP-GRANT-08,hcp_grant_08_deadline_does_not_relax_policy,src/test/modelnet_hcp_grant_tests.cpp,NATIVE_UNIT,
Exact package preservation,GET /packages,HCP-DISC-01,hcp_disc_01_exact_package_preservation,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Curation versus truth,PutOffer sponsored,HCP-DISC-02,hcp_disc_02_curation_versus_truth,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
No invented capacity,unknown stays unknown,HCP-DISC-03,hcp_disc_03_no_invented_capacity,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Catalogue caching isolation,no-store private,HCP-DISC-04,hcp_disc_04_catalogue_caching_isolation,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,shared HTTP cache NOT_RUN
Bounded NL input,query as data,HCP-DISC-05,hcp_disc_05_bounded_natural_language_input,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Economic freshness,dated observation,HCP-DISC-06,hcp_disc_06_economic_freshness,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,live chain economy NOT_RUN
Capability equivalence,recipe contract,HCP-DISC-07,hcp_disc_07_capability_equivalence_guard,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Independent provider alternative,SwitchProvider,HCP-DISC-08,hcp_disc_08_independent_provider_alternative,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,live provider B NOT_RUN
Device and nonce binding,AcceptHandoff,HCP-HAND-01,hcp_hand_01_device_and_nonce_binding,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Expiry and clock,clock fixtures,HCP-HAND-02,hcp_hand_02_expiry_and_clock_policy,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Package substitution,PACKAGE_MISMATCH,HCP-HAND-03,hcp_hand_03_package_substitution,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Durable duplicate handoff,idempotent AcceptHandoff,HCP-HAND-04,hcp_hand_04_durable_duplicate_handoff,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,client restart process NOT_RUN
Malicious instruction fields,FORBIDDEN_FIELD,HCP-HAND-05,hcp_hand_05_malicious_instruction_fields,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Free path,walletless AcceptHandoff,HCP-HAND-06,hcp_hand_06_free_path,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Optional reporting,SetReporting,HCP-HAND-07,hcp_hand_07_optional_reporting,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Provider disconnect,DisconnectProvider,HCP-HAND-08,hcp_hand_08_provider_disconnect,src/test/modelnet_hcp_disc_hand_tests.cpp,NATIVE_UNIT,
Resident base reuse,PlanLocal PutResidentBase,HCP-LOCAL-01,hcp_local_01_resident_base_reuse,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,real LAN bytes NOT_RUN
Faster path not fixed rank,PlanLocal LAN,HCP-LOCAL-02,hcp_local_02_faster_path_not_fixed_rank,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,
Runtime trust,HCP_ERR_SOFTWARE_TRUST,HCP-LOCAL-03,hcp_local_03_runtime_trust,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,
Sparse missing extent,UNVERIFIED_RANGE,HCP-LOCAL-04,hcp_local_04_sparse_missing_extent,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,
Readiness distinction,runtime_ready false,HCP-LOCAL-05,hcp_local_05_readiness_distinction,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,
Cancel under DMA,LEASE_FENCE FenceDma,HCP-LOCAL-06,hcp_local_06_cancel_under_dma,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,live CUDA DMA NOT_RUN
Private state containment,ExportPublic,HCP-LOCAL-07,hcp_local_07_private_state_containment,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,
No remote inference,remote_inference false,HCP-LOCAL-08,hcp_local_08_no_remote_inference_shortcut,src/test/modelnet_hcp_local_tests.cpp,NATIVE_UNIT,
Native key capability,HCP_CUSTODY_EVM_GENERIC,HCP-CUST-01,hcp_cust_01_native_key_capability,src/test/modelnet_hcp_cust_intent_tests.cpp,CUSTODY_LAB,live HSM NOT_RUN
Frozen script validation,submit terms mismatch,HCP-CUST-02,hcp_cust_02_frozen_script_validation,src/test/modelnet_hcp_cust_intent_tests.cpp,CUSTODY_LAB,live HSM NOT_RUN
Customer lot attribution,AttributeOutput,HCP-CUST-03,hcp_cust_03_customer_lot_attribution,src/test/modelnet_hcp_cust_intent_tests.cpp,NATIVE_UNIT,
No synthetic council seats,Statements,HCP-CUST-04,hcp_cust_04_no_synthetic_council_seats,src/test/modelnet_hcp_cust_intent_tests.cpp,NATIVE_UNIT,
Signer timeout ambiguity,ForceBroadcastUnknown,HCP-CUST-05,hcp_cust_05_signer_timeout_ambiguity,src/test/modelnet_hcp_cust_intent_tests.cpp,CUSTODY_LAB,live HSM NOT_RUN
Recovery drill,Persist/Restore,HCP-CUST-06,hcp_cust_06_recovery_drill,src/test/modelnet_hcp_cust_intent_tests.cpp,NATIVE_UNIT,live HSM backup NOT_RUN
Watch-only export honesty,ExportPublic self_custody,HCP-CUST-07,hcp_cust_07_watch_only_export_honesty,src/test/modelnet_hcp_cust_intent_tests.cpp,NATIVE_UNIT,
Signer network isolation,/rpc 404 HCP_ERR_GENERIC_RPC,HCP-CUST-08,hcp_cust_08_signer_network_isolation,src/test/modelnet_hcp_cust_intent_tests.cpp,NATIVE_UNIT,
