test_id,family,title,prerequisites,given,when,assertions,evidence_path,status
HCP-FRM-01,FRM,Canonical statement round trip,native codec + real ML-DSA provider keys,A ProviderProfile with canonical body and a native provider signature,"Encode, decode and independently re-encode it",Identical body bytes and body_id; native signature verifies; field roles remain distinct,evidence/HCP-FRM-01/,NOT_RUN
HCP-FRM-02,FRM,Parser differential rejection,native codec + real ML-DSA provider keys,"Raw bodies containing duplicate keys, float/exponent numbers, lone surrogates or trailing bytes","Feed the same vectors to API, native verifier and SDK readers",All reject before privileged effects; no parser selects a different meaning,evidence/HCP-FRM-02/,NOT_RUN
HCP-FRM-03,FRM,Domain separation,native codec + real ML-DSA provider keys,The same semantic fields signed as CapabilityOffer,Relabel the envelope as FinancialReceipt without resigning,Body domain mismatch fails; no economic observation is accepted,evidence/HCP-FRM-03/,NOT_RUN
HCP-FRM-04,FRM,Unknown provider self-signature,native codec + real ML-DSA provider keys,A syntactically valid profile signed by a new unaccepted root,Attempt automatic enrollment through a model package,Preview may display the claim; no trusted provider or account connection is installed,evidence/HCP-FRM-04/,NOT_RUN
HCP-FRM-05,FRM,Operational key rotation,native codec + real ML-DSA provider keys,"An enrolled root, old key and valid sequence-bound rotation",Rotate during active handoffs and replay an older keyset,Permitted overlap works; stale sequence and expired/revoked keys cannot authorize new effects,evidence/HCP-FRM-05/,NOT_RUN
HCP-FRM-06,FRM,Origin rebinding,native codec + real ML-DSA provider keys,A trusted provider profile whose next fetch redirects to a different origin,Fetch profile and token metadata through the redirect,No credential is forwarded; unapproved origin change requires enrollment,evidence/HCP-FRM-06/,NOT_RUN
HCP-FRM-07,FRM,Size and structural bounds,native codec + real ML-DSA provider keys,"Oversized body, enormous arrays and nesting above configured limits",Submit before expensive schema and signature verification,"Bounded rejection, memory ceiling and no CPU-amplification loop",evidence/HCP-FRM-07/,NOT_RUN
HCP-FRM-08,FRM,Role separation across signatures,native codec + real ML-DSA provider keys,Accepted provider key and independently trusted package/software keys,"Use provider signature as package author, client distributor or wallet signature",Every inappropriate role is rejected; correct provider receipt remains only an attestation,evidence/HCP-FRM-08/,NOT_RUN
HCP-AUTH-01,AUTH,Authorization code PKCE,real configured OAuth test identity provider,Two browser sessions and separate PKCE challenges,"Swap code, redirect, state or verifier across sessions",Code is rejected; no account session/token leaks; exact legitimate session succeeds,evidence/HCP-AUTH-01/,NOT_RUN
HCP-AUTH-02,AUTH,Sender-constrained token theft,real configured OAuth test identity provider,A DPoP-bound or mTLS-bound financial token,Use it with a different key/certificate or replay proof ID,Access is denied; no financial preparation/signing effect occurs,evidence/HCP-AUTH-02/,NOT_RUN
HCP-AUTH-03,AUTH,Audience enforcement,real configured OAuth test identity provider,Tokens for catalogue and a distinct MCP/resource service,Present each to finance and local capability endpoints,Audience mismatch is rejected; no token passthrough to downstream services,evidence/HCP-AUTH-03/,NOT_RUN
HCP-AUTH-04,AUTH,Scope escalation,real configured OAuth test identity provider,catalog:read token and a valid private account,"Attempt quote, authorization, submit and policy creation through GET/POST variants",All writes fail; read-only responses reveal no account-private data,evidence/HCP-AUTH-04/,NOT_RUN
HCP-AUTH-05,AUTH,Tenant object isolation,real configured OAuth test identity provider,Accounts A and B with similarly named intents/devices,A requests B objects by guessed IDs and cursor,"Response denies access without leaking existence, balances or metadata",evidence/HCP-AUTH-05/,NOT_RUN
HCP-AUTH-06,AUTH,DPoP is not body approval,real configured OAuth test identity provider,A sender-valid token and previously approved intent body,Change principal or terms while retaining request proof,Immutable intent digest check rejects content mutation despite valid token possession,evidence/HCP-AUTH-06/,NOT_RUN
HCP-AUTH-07,AUTH,Refresh and revocation,real configured OAuth test identity provider,Active agent token and revoked refresh/policy context,Attempt reuse across renewal and in-flight new authorization,Revoked authority blocks new effects; existing dispatched effects remain reconcilable,evidence/HCP-AUTH-07/,NOT_RUN
HCP-AUTH-08,AUTH,Secret leakage sweep,real configured OAuth test identity provider,"Sentinel OAuth tokens, cloud credentials and wallet secret fixtures","Exercise failure, export, runtime, logs and source-hint paths",Sentinels occur only in approved secret stores; no child runtime environment or public payload contains them,evidence/HCP-AUTH-08/,NOT_RUN
HCP-GRANT-01,GRANT,Handoff without local grant,native local grant service + gateway policy adapter,Valid signed handoff and no LocalCapabilityGrant,Ask the connector to acquire and run,Returns LOCAL_GRANT_REQUIRED without model network/runtime side effects,evidence/HCP-GRANT-01/,NOT_RUN
HCP-GRANT-02,GRANT,Finite first-use convenience,native local grant service + gateway policy adapter,Owner grants acquire/load for exact recipes and finite budgets,Complete several covered local steps unattended,No repeated per-step approval; every effect and reservation stays within the original scope,evidence/HCP-GRANT-02/,NOT_RUN
HCP-GRANT-03,GRANT,Financial policy cannot launch,native local grant service + gateway policy adapter,Valid HostedAccountPolicy allowing release funding,Present it as authority for runtime execution,Rejected by local service; no executable or memory allocation is authorized,evidence/HCP-GRANT-03/,NOT_RUN
HCP-GRANT-04,GRANT,Local grant cannot spend,native local grant service + gateway policy adapter,Valid local acquisition/run policy and funded customer account,Try finance authorize/submit using local grant ID,Rejected by gateway/custody policy; balances unchanged,evidence/HCP-GRANT-04/,NOT_RUN
HCP-GRANT-05,GRANT,Revocation race,native local grant service + gateway policy adapter,Authorized local job and account policy revision near expiry,Revoke as another worker attempts a new signature or local effect,New effects fail; already in-flight buffers/signatures follow safe reconciliation,evidence/HCP-GRANT-05/,NOT_RUN
HCP-GRANT-06,GRANT,Resource ceilings,native local grant service + gateway policy adapter,Two concurrent ensure jobs each fitting isolated memory budget,Run both under one shared host ceiling,Atomic admission prevents combined oversubscription; no duplicate broker creates fictitious capacity,evidence/HCP-GRANT-06/,NOT_RUN
HCP-GRANT-07,GRANT,Future issuer scope,native local grant service + gateway policy adapter,Finite subscription for publisher P,Deliver signed release by Q and P after root rotation,Q denied; P rotation follows exact delegation policy rather than arbitrary same display name,evidence/HCP-GRANT-07/,NOT_RUN
HCP-GRANT-08,GRANT,Deadline does not relax policy,native local grant service + gateway policy adapter,Fast untrusted source and slow approved source,Set an unreachable TTC deadline,"Returns explicit unmet deadline; no verification, software trust or privacy rule is disabled",evidence/HCP-GRANT-08/,NOT_RUN
HCP-DISC-01,DISC,Exact package preservation,native signed-object store + hosted projection,Native Core v3 descriptor with documents and recipes,Fetch it through two independent hosted providers,Same package_core_id and byte hash; provider wrappers do not mutate the signed core,evidence/HCP-DISC-01/,NOT_RUN
HCP-DISC-02,DISC,Curation versus truth,native signed-object store + hosted projection,Sponsored entry with limited availability evidence,Render search and export machine response,"Sponsorship/rank, signature status, quality claims and observed availability are separate fields",evidence/HCP-DISC-02/,NOT_RUN
HCP-DISC-03,DISC,No invented capacity,native signed-object store + hosted projection,Source reports unknown memory compatibility and incomplete provider view,Search with strict memory/evidence requirements,Unknown remains unknown; does not become compatible or globally complete,evidence/HCP-DISC-03/,NOT_RUN
HCP-DISC-04,DISC,Catalogue caching isolation,native signed-object store + hosted projection,Public immutable package and account-private funding view,Exercise shared caches across accounts and stale versions,Immutable bytes cache safely; private responses no-store and no cross-account cache hit,evidence/HCP-DISC-04/,NOT_RUN
HCP-DISC-05,DISC,Bounded natural-language input,native signed-object store + hosted projection,Query containing native RPC text or SQL-like syntax,Search and paginate through gateway,Text stays data; query budget enforced; no native mutation or expression execution,evidence/HCP-DISC-05/,NOT_RUN
HCP-DISC-06,DISC,Economic freshness,native signed-object store + hosted projection,Old percent-funded label and current different chain state,Read economy view before planning finance,Dated observation displayed separately; current terms/anchor required for financial plan,evidence/HCP-DISC-06/,NOT_RUN
HCP-DISC-07,DISC,Capability equivalence guard,native signed-object store + hosted projection,Two similarly named recipes with different evidence/outputs,Select under a minimum capability contract,Only qualifying recipe eligible; same keyword is not substitution authority,evidence/HCP-DISC-07/,NOT_RUN
HCP-DISC-08,DISC,Independent provider alternative,native signed-object store + hosted projection,"Provider A offline, provider B has same exact package",Explicitly switch discovery configuration,Read discovery succeeds without changing package/resource identity or migrating financial intent,evidence/HCP-DISC-08/,NOT_RUN
HCP-HAND-01,HAND,Device and nonce binding,hosted connector + native package verifier,Valid handoff for device A nonce N,Replay to B or to A with a different pending nonce,Rejected before planning; no transfer or execution job created,evidence/HCP-HAND-01/,NOT_RUN
HCP-HAND-02,HAND,Expiry and clock policy,hosted connector + native package verifier,Handoff at boundary of allowed skew and a stale one,Verify with deterministic clock fixtures,Only policy-valid handoff accepted; no unlimited grace caused by malformed timestamp,evidence/HCP-HAND-02/,NOT_RUN
HCP-HAND-03,HAND,Package substitution,hosted connector + native package verifier,Handoff binds one exact package/recipe,Serve another validly signed package at the same URL,PACKAGE_MISMATCH; neither author signature nor HTTPS hides substitution,evidence/HCP-HAND-03/,NOT_RUN
HCP-HAND-04,HAND,Durable duplicate handoff,hosted connector + native package verifier,Accepted handoff and interrupted response,Deliver repeatedly after client restart,One local business job/generation or explicit previous outcome; no duplicate resource reservation,evidence/HCP-HAND-04/,NOT_RUN
HCP-HAND-05,HAND,Malicious instruction fields,hosted connector + native package verifier,Valid provider signature over unsupported shell/env/path fields,Import handoff into local connector,Strict schema/effect boundary rejects; no shell evaluation or runtime trust expansion,evidence/HCP-HAND-05/,NOT_RUN
HCP-HAND-06,HAND,Free path,hosted connector + native package verifier,Public capability available natively and empty CEX balance,Acquire through hosted handoff,"No wallet sync, monetary signature or compulsory platform payment occurs",evidence/HCP-HAND-06/,NOT_RUN
HCP-HAND-07,HAND,Optional reporting,hosted connector + native package verifier,Owner disables readiness reporting,Finish acquisition and inference,No report leaves device; local result remains usable,evidence/HCP-HAND-07/,NOT_RUN
HCP-HAND-08,HAND,Provider disconnect,hosted connector + native package verifier,Ready public capability with provider subsequently unreachable,"Run local workload, release lease and use local cache later",No mandatory CEX heartbeat; fresh hosted actions fail clearly without killing acquired data,evidence/HCP-HAND-08/,NOT_RUN
HCP-LOCAL-01,LOCAL,Resident base reuse,real capability runtime + local/LAN sources,"Exact base resident, compatible adapter on LAN and remote source hint",Ensure the selected recipe,No base re-download; local TTC plan chooses permitted missing components and native result matches baseline,evidence/HCP-LOCAL-01/,NOT_RUN
HCP-LOCAL-02,LOCAL,Faster path not fixed rank,real capability runtime + local/LAN sources,Slow local disk and faster authorized LAN source,Plan using measured inputs then execute,Planner can choose LAN; explains confidence and stage costs without a rigid category hierarchy,evidence/HCP-LOCAL-02/,NOT_RUN
HCP-LOCAL-03,LOCAL,Runtime trust,real capability runtime + local/LAN sources,Provider recommends unsupported executable URL,Plan client/runtime preparation,SOFTWARE_TRUST_REQUIRED or unsupported profile; no automatic untrusted install,evidence/HCP-LOCAL-03/,NOT_RUN
HCP-LOCAL-04,LOCAL,Sparse missing extent,real capability runtime + local/LAN sources,Partially materialized model with an absent required piece,Attempt loading through hosted journey,Verified reader blocks/fails; missing bytes never become zero-valued trusted weights,evidence/HCP-LOCAL-04/,NOT_RUN
HCP-LOCAL-05,LOCAL,Readiness distinction,real capability runtime + local/LAN sources,Transfer complete but runtime warmup fails,Report hosted/local statuses,Download completion is not RUNTIME_READY; financial success remains separate,evidence/HCP-LOCAL-05/,NOT_RUN
HCP-LOCAL-06,LOCAL,Cancel under DMA,real capability runtime + local/LAN sources,Active GPU transfer with remote CEX cancel request,Authorize local cancellation while physical transfer remains active,Lease retained until fence; no stale write to reused generation,evidence/HCP-LOCAL-06/,NOT_RUN
HCP-LOCAL-07,LOCAL,Private state containment,real capability runtime + local/LAN sources,Active prompt/KV/prefix cache and hosted reporting enabled,Send allowed coarse report and export handoff state,"No prompts, completions, KV, pointers or private paths leave local trust domain",evidence/HCP-LOCAL-07/,NOT_RUN
HCP-LOCAL-08,LOCAL,No remote inference shortcut,real capability runtime + local/LAN sources,Local runtime unavailable and provider has a remote inference API,Ensure a LOCAL_ONLY recipe,Returns explicit unsupported/not ready; never forwards a prompt to the provider,evidence/HCP-LOCAL-08/,NOT_RUN
HCP-CUST-01,CUST,Native key capability,isolated native chain + actual supported signer,Custody backend advertising only generic EVM support,Enable FUNDING profile,Profile remains disabled with CUSTODY_UNSUPPORTED; no fabricated BTX signature path,evidence/HCP-CUST-01/,NOT_RUN
HCP-CUST-02,CUST,Frozen script validation,isolated native chain + actual supported signer,Prepared release/bounty tree and approved refund key,"Change claimant, script, amount or refund height before signing",Custody independent validation rejects exact mismatch,evidence/HCP-CUST-02/,NOT_RUN
HCP-CUST-03,CUST,Customer lot attribution,isolated native chain + actual supported signer,Two custodial users co-fund one native round,Prepare/sign/broadcast and reconcile lots,Each contribution maps to its own authorized lot and beneficiary; no principal counted twice,evidence/HCP-CUST-03/,NOT_RUN
HCP-CUST-04,CUST,No synthetic council seats,isolated native chain + actual supported signer,One custodian with many customer subaccounts,Project participants and evaluator rights,Native rules used; subaccounts do not create independent control or votes by UI fiction,evidence/HCP-CUST-04/,NOT_RUN
HCP-CUST-05,CUST,Signer timeout ambiguity,isolated native chain + actual supported signer,Custody creates signature but response is lost,Retry caller and restart executor,Lookup same signing operation; no new independent spend or automatic hold release,evidence/HCP-CUST-05/,NOT_RUN
HCP-CUST-06,CUST,Recovery drill,isolated native chain + actual supported signer,"Encrypted backups of keys, native transaction state and customer ledger",Restore into isolated lab and perform eligible refund,Correct beneficiary recovers; evidence includes native transactions and accounting reconciliation,evidence/HCP-CUST-06/,NOT_RUN
HCP-CUST-07,CUST,Watch-only export honesty,isolated native chain + actual supported signer,Customer exports receipts and public refund paths without keys,Inspect/export recovery explanation,No claim of unilateral refund; custody controller and deadline obligations explicit,evidence/HCP-CUST-07/,NOT_RUN
HCP-CUST-08,CUST,Signer network isolation,isolated native chain + actual supported signer,Malformed native candidate and compromised model helper,Probe custody endpoint through model/public bridge,No route or credential; signer accepts only authenticated typed executor operations,evidence/HCP-CUST-08/,NOT_RUN
HCP-INTENT-01,INTENT,Idempotent creation,transactional gateway + native executor fault injection,Stable client_operation_id and one signed quote,Create twice with same body and then altered amount/terms,Same outcome for same body; 409 for conflict; no second reservation,evidence/HCP-INTENT-01/,NOT_RUN
HCP-INTENT-02,INTENT,Authorization binds intent,transactional gateway + native executor fault injection,Prepared immutable intent approved at policy revision N,Mutate body or raise fees before submit,Expected digest/revision validation rejects before signing,evidence/HCP-INTENT-02/,NOT_RUN
