id,title,given,native_file,boost_case,process_file,evidence_tier,quality,notes
CR11-J01,Corporate workload to capital,A technical owner defines an accepted workload; finance holds a protected BTX reserve.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j01_journey,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,Native: workloads+comparisons+plans+allocations+capacity 250. Process: same plus TCO external=600000. Does not complete local handoff/readiness.
CR11-J02,Institutional reserve mandate,An institutional legal account with existing custody and OTC adapters.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j02_journey,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,Native is extension+profile+capacity clone-template. Process: POST policy SUGGEST replenishment executed_orders=0. No OTC test order.
CR11-J03,Family operating companies,"A principal, adviser, two companies and foundation with separate accounts.",src/test/modelnet_cr11_journey_tests.cpp,cr11_j03_journey,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,Native: family_view execute -> FAMILY_VIEW. Process: snapshot capacity 250 only; not two companies+foundation.
CR11-J04,Foundation research,A foundation has a finite research allocation and committed native bounty terms.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j04_journey,test/functional/feature_modelnet_cr11_journeys.py,PROCESS,WEAK,Native Boost case is clone of J02 template (NOT journey evidence). Process: POST program + membership independent=true.
CR11-J05,Free cold acquisition,A clean walletless client and a public capability.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j05_journey,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,Walletless POST portfolio PROFILE_UNSUPPORTED. Process also optional btx-hosted walletless JSON if binary present. No peer acquisition.
CR11-J06,Resident base and LAN adapter,A base is resident and an exact compatible adapter is on LAN.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j06_journey,,NOT_RUN,CLONE,Native clone of J02 (GET extension+profile+capacity). Process does not implement LAN reuse.
CR11-J07,Reserve replenishment concurrency,Multiple replicas receive repeated low-reserve events.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j07_journey,,NOT_RUN,CLONE,Native clone. Process replenishment is SUGGEST-only one-shot; no AUTO concurrency.
CR11-J08,Committee changes mid-plan,A multi-person approval packet has nearly reached quorum.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j08_journey,,NOT_RUN,CLONE,Native clone. No committee/amount/quote-change sequence.
CR11-J09,Conversion partial success,A conversion is executed before native funding.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j09_journey,,NOT_RUN,CLONE,Native clone. No conversion/partial/restart saga.
CR11-J10,Unknown native broadcast,Actual isolated native transaction dispatch loses its response.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j10_journey,,NOT_RUN,CLONE,Native clone. No signer/outbox/native broadcast. Live native dispatch remains NOT_RUN (audit/cr11-not-run.md).
CR11-J11,Independent co-sponsors,Three independent entities contribute to one programme.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j11_journey,,NOT_RUN,CLONE,Native clone. Process leftover GET products/positions/rules/workloads is not co-sponsor lots.
CR11-J12,Refund and reserve authority,A funded lot reaches a valid native refund condition.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j12_journey,,NOT_RUN,CLONE,"Native clone. Refund+lifetime mandate is LEDGER-07 native lab, not this journey."
CR11-J13,Infrastructure partner,A capital plan requires additional approved hardware.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j13_journey,,NOT_RUN,CLONE,Native clone. Process GET /capital/products is not partner referral.
CR11-J14,Collateral interaction,Existing partner product encumbers portfolio BTX.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j14_journey,,NOT_RUN,CLONE,Native clone. No collateral adapter.
CR11-J15,Board reporting,"Multiple currencies, invoices, holdings and commitments exist.",src/test/modelnet_cr11_journey_tests.cpp,cr11_j15_journey,,NOT_RUN,CLONE,Native clone. Process POST reports nav_merged=false is not board FOCUS/FX/invoice journey.
CR11-J16,Adviser revocation,An adviser has access to drafts and reports across selected entities.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j16_journey,,NOT_RUN,CLONE,Native clone. No adviser revoke mid-export.
CR11-J17,Two-provider customer exit,Customer has acquired public capability and pending finance at provider A.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j17_journey,,NOT_RUN,CLONE,Native clone. PORT-01 creates two engines; not customer exit.
CR11-J18,Accessible browser and agent parity,A first-time user and a scoped agent access the built portal and SDK.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j18_journey,,NOT_RUN,CLONE,Native clone. UX-07 is BOOST_CHECK(true). No browser/SDK parity.
CR11-J19,Outage and load,Measured API/job load with one slow auxiliary product service.,src/test/modelnet_cr11_journey_tests.cpp,cr11_j19_journey,,NOT_RUN,CLONE,Native clone. SCALE stubs; measured load NOT_RUN.
CR11-J20,Integrated candidate,"Final fingerprint, baseline contract artifacts and all supported backends.",src/test/modelnet_cr11_journey_tests.cpp,cr11_j20_journey,,NATIVE,WEAK,"Native: GET /health cognitive_reserve=true automatic_spend_atoms=0. Does not run 50 ops + 190 cases + 120 HCP. Independent review is this audit, not a PASS matrix."
