# Packaged 0.34.7 production acceptance matrix.
# Columns: id,group,status,evidence
# PASS only where this tree has a Boost test or an executed e2e script.
# Capabilities bits are not PASS. GPU live kernel requires cuda-isolated-e2e.sh.
id,group,status,evidence
URI-01,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_01_all_nine_kinds_preserve_digest
URI-02,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_02_exact_length_contract; src/test/modelnet_uri_resolve_tests.cpp uri_truncated_payload_rejected
URI-03,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_03_bech32m_only; src/test/modelnet_uri_resolve_tests.cpp uri_wrong_hrp_rejected
URI-04,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_04_single_symbol_mutations
URI-05,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_05_unknown_version_or_kind_rejected
URI-06,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_06_nonzero_residual_padding_rejected
URI-07,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_07_case_rules; src/test/modelnet_uri_resolve_tests.cpp uri_mixed_case_bech32_rejected
URI-08,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_08_hostile_inputs_rejected; src/test/modelnet_uri_resolve_tests.cpp uri_query_and_fragment_rejected
URI-09,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_09_paths_rejected
URI-10,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_10_explicit_local_forms; src/test/modelnet_uri_resolve_tests.cpp uri_decode_token_vs_uri
URI-11,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_11_authority_not_dns
URI-12,URI,PASS,contrib/modelnet/e2e-os-handler.sh user-local plus pkexec then sudo --system (BTX_SYSTEM_DESKTOP scratch); src/qt/intro.cpp installOsHandler; src/test/modelnet_b0_remaining_tests.cpp uri_12_btx_open_preview_binary_present
URI-13,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_13_not_a_spending_or_payment_input
URI-14,URI,PASS,src/test/modelnet_uri_resolve_tests.cpp uri_14_short_display_copy_is_full_canonical; contrib/modelnet/e2e-os-handler.sh display vs copy; src/qt/modelnetpage.cpp copyOpenedUri
URI-15,URI,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_uri_15_typed_hash_domain; src/test/modelnet_uri_resolve_tests.cpp decode_object_matches_decode_resource
RESOLVE-01,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_01_cpu_only_cache
RESOLVE-02,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_02_local_cache_hit; src/test/modelnet_uri_resolve_tests.cpp resolve_incomplete_local_catalog
RESOLVE-03,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_03_independent_router_no_domain; src/test/modelnet_resolve_bounds_tests.cpp; contrib/modelnet/e2e-resolve-8-4.sh
RESOLVE-04,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_04_router_removal_direct_transfer; contrib/modelnet/e2e-resolve-8-4.sh
RESOLVE-05,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_05_exact_record_root
RESOLVE-06,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_06_typed_identity_lookup
RESOLVE-07,RESOLVE,PASS,src/test/modelnet_resolve_bounds_tests.cpp resolve_eight_router_four_query_and_independent; contrib/modelnet/e2e-resolve-8-4.sh
RESOLVE-08,RESOLVE,PASS,src/test/modelnet_resolve_bounds_tests.cpp resolve_negative_ttl_never_does_not_exist
RESOLVE-09,RESOLVE,PASS,src/test/modelnet_resolve_bounds_tests.cpp resolve_http_no_artifact_relabel
RESOLVE-10,RESOLVE,PASS,src/test/modelnet_ds_remaining_tests.cpp v11_resolve_10_monetary_endpoints_hidden
FREE-01,FREE,PASS,src/test/modelnet_free_remaining_tests.cpp v11_free_01; src/test/modelnet_ds_remaining_tests.cpp v11_free_01_identity_only_no_wallet
FREE-02,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_02
FREE-03,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_03
FREE-04,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_04
FREE-05,FREE,PASS,src/test/modelnet_free_remaining_tests.cpp v11_free_05; src/test/modelnet_ds_remaining_tests.cpp v11_free_05_zero_price_no_balance
FREE-06,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_06
FREE-07,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_07
FREE-08,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_08
FREE-09,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_09
FREE-10,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_10
FREE-11,FREE,PASS,src/test/modelnet_free_remaining_tests.cpp v11_free_11
FREE-12,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_12
FREE-13,FREE,PASS,src/test/modelnet_planner_tests.cpp v11_free_13
FREE-14,FREE,PASS,src/test/modelnet_free_remaining_tests.cpp v11_free_14; src/test/modelnet_ds_remaining_tests.cpp v11_free_14_exposure_and_fee_ceiling
FREE-15,FREE,PASS,src/test/modelnet_free_remaining_tests.cpp v11_free_15; src/test/modelnet_ds_remaining_tests.cpp v11_free_15_release_not_substituted
RECIP-01,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_needed_verified_free_only
RECIP-02,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_paid_unsolicited_corrupt_no_credit
RECIP-03,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_no_duplicate_piece_credit
RECIP-04,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_seven_day_decay_28_day_horizon
RECIP-05,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_weight_bounded_1_to_4
RECIP-06,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_rarity_multiplier_cap_2
RECIP-07,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_lane_20_60_20_congestion; contrib/modelnet/e2e-nat-congested.sh
RECIP-08,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_unused_lanes_lend; contrib/modelnet/e2e-nat-congested.sh
RECIP-09,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_per_key_churn_within_aggregate
RECIP-10,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_nat_newcomer_ordinary_free; contrib/modelnet/e2e-nat-congested.sh
RECIP-11,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_giveback_stops_no_fake_demand
RECIP-12,RECIP,PASS,src/test/modelnet_v11_negative_tests.cpp recip_score_never_touches_banman_addrman
IDENT-01,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_store_without_wallet
IDENT-02,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_spending_address_not_research_id
IDENT-03,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_provider_id_byte_identical
IDENT-04,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_delegation_bound_to_service_key
IDENT-05,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_delegation_depth_expiry_scopes
IDENT-06,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_service_key_cannot_spend_or_root
IDENT-07,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_revocation_scoped
IDENT-08,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_rotation_does_not_clone_credit
IDENT-09,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_backup_vs_public_export
IDENT-10,IDENT,PASS,src/test/modelnet_v11_negative_tests.cpp ident_no_arbitrary_digest_wallet_sign
ACL-01,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_invalid_crypto_rejected_despite_allow
ACL-02,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_hard_ceiling_despite_preferred
ACL-03,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_local_deny_wins
ACL-04,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_quarantine_not_cleared_by_trust_bundle
ACL-05,ACL,PASS,src/test/modelnet_v11_negative_tests.cpp acl_exact_exception_explained
