operation_id,method,path,scope,effect,request,response,disposition
getLayerExtension,GET,/btx/hcp/v1/extensions/cognitive-reserve/v1.2,catalog:read,READ,,LayerExtensionProfileV1_2Envelope,NEW on same HcpEngine
publishProviderRoles,POST,/btx/hcp/v1/layer/roles,layer:admin,RECORD,ProviderRoleManifestV1_2,ProviderRoleManifestV1_2Envelope,NEW on same HcpEngine
getProviderRoles,GET,/btx/hcp/v1/layer/roles/{id},catalog:read,READ,,ProviderRoleManifestV1_2Envelope,NEW on same HcpEngine
listProviderRoles,GET,/btx/hcp/v1/layer/roles,catalog:read,READ,,Page,NEW on same HcpEngine
createServiceBinding,POST,/btx/hcp/v1/layer/bindings,bindings:admin,BIND,ServiceBindingV1_2,ServiceBindingV1_2Envelope,NEW on same HcpEngine
getServiceBinding,GET,/btx/hcp/v1/layer/bindings/{id},bindings:read,READ,,ServiceBindingV1_2Envelope,NEW on same HcpEngine
listServiceBindings,GET,/btx/hcp/v1/layer/bindings,bindings:read,READ,,Page,NEW on same HcpEngine
revokeServiceBinding,POST,/btx/hcp/v1/layer/bindings/{id}/revoke,bindings:admin,BIND,BindingRevokeRequest,ServiceBindingV1_2Envelope,NEW on same HcpEngine
validateAdapterCapabilities,POST,/btx/hcp/v1/layer/adapters/validate,layer:admin,RECORD,AdapterValidateRequest,Job,NEW on same HcpEngine
getAdapterCapabilityReport,GET,/btx/hcp/v1/layer/adapters/{id},bindings:read,READ,,AdapterCapabilityManifestV1_2Envelope,NEW on same HcpEngine
registerInstitutionalAsset,POST,/btx/hcp/v1/institutional/assets,assets:write,RECORD,InstitutionalAssetRecordV1_2,InstitutionalAssetRecordV1_2Envelope,NEW on same HcpEngine
getInstitutionalAsset,GET,/btx/hcp/v1/institutional/assets/{id},assets:read,READ,,InstitutionalAssetRecordV1_2Envelope,NEW on same HcpEngine
listInstitutionalAssets,GET,/btx/hcp/v1/institutional/assets,assets:read,READ,,Page,NEW on same HcpEngine
recordAssetRights,POST,/btx/hcp/v1/institutional/assets/{id}/rights,assets:write,RECORD,RightsStatementV1_2,RightsStatementV1_2Envelope,NEW on same HcpEngine
ingestPositionBatch,POST,/btx/hcp/v1/institutional/positions/batches,positions:write,RECORD,PositionBatchRequest,Job,NEW on same HcpEngine
getPositionObservation,GET,/btx/hcp/v1/institutional/positions/{id},positions:read,READ,,PositionObservationV1_2Envelope,NEW on same HcpEngine
getPositionSnapshot,GET,/btx/hcp/v1/institutional/positions,positions:read,READ,,Page,NEW on same HcpEngine
