id,family,title,given,when,then,environment,proposed_native_suite,evidence_path,status
CR11-COMP-01,COMP,Base route preservation,The original 34 route contracts and seven statement schemas,load v1.1 alongside an existing HCP client,"old requests, responses and signed golden bytes remain unchanged",Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-01/,NOT_RUN
CR11-COMP-02,COMP,Negotiated extension binding,An enrolled base ProviderProfile and signed extension,substitute a different parent profile digest,reject before any new extension effect,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-02/,NOT_RUN
CR11-COMP-03,COMP,Unknown extension,An old server or unknown required feature,request a reserve or committee operation,return PROFILE_UNSUPPORTED without unrestricted funding fallback,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-03/,NOT_RUN
CR11-COMP-04,COMP,Domain separation,The same body signed under one new object type,relabel it as an approval or receipt,reject the body ID/signature mismatch,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-04/,NOT_RUN
CR11-COMP-05,COMP,Strict parser parity,"Duplicate keys, float values and invalid Unicode vectors",parse with native codec and both SDKs,all reject the same forbidden representations,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-05/,NOT_RUN
CR11-COMP-06,COMP,No package version inflation,A valid Core v3 capability package,complete hosted reserve-funded acquisition,preserve exact package bytes and avoid creating Core v4,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-06/,NOT_RUN
CR11-COMP-07,COMP,Safe downgrade,A new approved allocation using committees,disable the extension at the provider,stop new effects and retain reconciliation of accepted children,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-07/,NOT_RUN
CR11-COMP-08,COMP,Key rotation,An extension signed by an expired or revoked role key,request a new financial action,reject while retaining historical receipts as dated evidence,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-08/,NOT_RUN
CR11-COMP-09,COMP,Migration restart,Existing base intents and partially migrated new records,crash and restart schema migration,"resume without lost holds, duplicate records or orphaned exports",Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-09/,NOT_RUN
CR11-COMP-10,COMP,Rollback accountability,Accepted v1.1 financial children,roll back the application deployment,keep read/reconcile/refund paths and prohibit duplicate execution,Native codec + base/new gateway,modelnet_cr11_comp_tests,evidence/CR11-COMP-10/,NOT_RUN
CR11-ENTITY-01,ENTITY,Group view is not debit authority,A parent with read access to a subsidiary,submit a subsidiary debit using only parent scope,deny without reserving funds,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-01/,NOT_RUN
CR11-ENTITY-02,ENTITY,Family segregation,"Company, trust and foundation accounts in one overview",query and allocate from one selected entity,other entities remain outside the payer balance and mandate,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-02/,NOT_RUN
CR11-ENTITY-03,ENTITY,Adviser draft only,An adviser authorized to prepare plans,approve or execute the prepared plan,deny the higher effect while preserving the draft,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-03/,NOT_RUN
CR11-ENTITY-04,ENTITY,Forged request account,A valid token for entity A,submit a body naming entity B,reject account mismatch instead of trusting the body,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-04/,NOT_RUN
CR11-ENTITY-05,ENTITY,Self-escalation,An operator below policy-admin privilege,assign a larger role or spending limit to itself,deny and emit a scoped audit event,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-05/,NOT_RUN
CR11-ENTITY-06,ENTITY,Membership expiry,A committee member removed through enterprise identity,reuse an old active session to approve,recheck current role and reject when no longer eligible,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-06/,NOT_RUN
CR11-ENTITY-07,ENTITY,Scoped export,An adviser scoped to two portfolios,request a group-wide capital export,exclude unauthorized entities and records,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-07/,NOT_RUN
CR11-ENTITY-08,ENTITY,Cross-entity legs,A plan containing payments by two subsidiaries,approve with only one entity authority,leave the other leg unapproved and unexecuted,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-08/,NOT_RUN
CR11-ENTITY-09,ENTITY,Independent currencies,A group with USD and JPY reporting accounts,aggregate the management view,retain original amounts and use explicit dated FX observations,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-09/,NOT_RUN
CR11-ENTITY-10,ENTITY,Relationship revocation,An active group/adviser link,revoke and immediately submit new work,deny future actions without rewriting prior ownership history,Native API + identity/ledger lab,modelnet_cr11_entity_tests,evidence/CR11-ENTITY-10/,NOT_RUN
CR11-RESERVE-01,RESERVE,Capacity formula,"Available 1000, protected 400 and remaining authority 250 atoms",compute allocation capacity,return exactly 250 atoms,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-01/,NOT_RUN
CR11-RESERVE-02,RESERVE,Protected floor,A plan exceeding available less protected funds,attempt atomic reservation,reject with no partial hold or policy consumption,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-02/,NOT_RUN
CR11-RESERVE-03,RESERVE,Existing hold counted once,AVAILABLE already excludes an existing hold,compute snapshot and new reservation,avoid subtracting that hold twice,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-03/,NOT_RUN
CR11-RESERVE-04,RESERVE,Mandate exhaustion,Cash above the floor but only 10 atoms of authority,request 11 atoms,deny despite sufficient cash,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-04/,NOT_RUN
CR11-RESERVE-05,RESERVE,Concurrent allocation,One account with capacity for 20 equal plans,submit 100 distinct plans through multiple replicas,accept at most 20 and preserve nonnegative capacity,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-05/,NOT_RUN
CR11-RESERVE-06,RESERVE,Duplicate operation,One stable operation ID with identical body,retry concurrently after response loss,return one existing reservation,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-06/,NOT_RUN
CR11-RESERVE-07,RESERVE,Conflicting duplicate,One existing operation ID,reuse it with changed amount or destination,return IDEMPOTENCY_CONFLICT with no new effect,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-07/,NOT_RUN
CR11-RESERVE-08,RESERVE,Pending deposit exclusion,A pending deposit below required confirmation,plan a reserve allocation,exclude the deposit from AVAILABLE,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-08/,NOT_RUN
CR11-RESERVE-09,RESERVE,Encumbered capital exclusion,A balance pledged to an existing product,plan capability funding,exclude encumbered funds through the authoritative ledger,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-09/,NOT_RUN
CR11-RESERVE-10,RESERVE,Soft budget is not money,Two departments share one actual portfolio balance,reserve under both soft budgets,enforce the common financial ceiling rather than summing budgets,Native service + transactional multi-replica ledger,modelnet_cr11_reserve_tests,evidence/CR11-RESERVE-10/,NOT_RUN
CR11-VALUE-01,VALUE,Stale reserve price,A reporting-currency floor and expired quote,calculate executable reserve capacity,return PRICE_STALE rather than a spendable valuation,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-01/,NOT_RUN
CR11-VALUE-02,VALUE,Conservative atom rounding,A conversion yielding fractional native atoms,derive a required protected floor,round upward without floating-point drift,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-02/,NOT_RUN
CR11-VALUE-03,VALUE,Invalid market inputs,"Zero, negative, NaN or infinite prices",calculate or replenish,reject before creating a trade,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-03/,NOT_RUN
CR11-VALUE-04,VALUE,Bounded stress haircut,An accepted price and configured haircut,derive the protected floor,use the approved conservative price and exact rounding,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-04/,NOT_RUN
CR11-VALUE-05,VALUE,Replenishment cooldown,An AUTO policy with a recent accepted top-up,trigger many new observations,create no second active replenishment within the limit,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-05/,NOT_RUN
CR11-VALUE-06,VALUE,Source asset restriction,An AUTO policy authorizing one source asset,propose conversion from another asset,deny without an order,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-06/,NOT_RUN
CR11-VALUE-07,VALUE,Lifetime turnover,Repeated top-ups within individual caps,cross the cumulative authorized turnover,stop even when the new order alone is small,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-07/,NOT_RUN
CR11-VALUE-08,VALUE,Quote expiry before execution,An approved plan with a stale firm quote,submit after expiration,require renewed matching approval or an explicitly valid bound,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-08/,NOT_RUN
CR11-VALUE-09,VALUE,Unknown conversion,A venue times out after possible execution,trigger retry and reserve recomputation,retain uncertainty and do not duplicate or reverse the trade,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-09/,NOT_RUN
CR11-VALUE-10,VALUE,Suggest is read/plan only,A SUGGEST policy under its lower band,run the scheduled evaluator,produce a proposal with zero executed orders,Native calculator + quote adapter lab,modelnet_cr11_value_tests,evidence/CR11-VALUE-10/,NOT_RUN
CR11-TCO-01,TCO,Worked ownership case,"20m tasks/year, $0.01/task, three years; $50k plus $65k/year local",calculate comparison,return $600000 versus $245000 and the defined break-even,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-01/,NOT_RUN
CR11-TCO-02,TCO,Quality equivalence,A cheaper recipe below the workload acceptance threshold,rank acquisition alternatives,exclude it from an equivalent-savings claim,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-02/,NOT_RUN
CR11-TCO-03,TCO,Unknown cost,A route missing an operating or hardware cost,calculate total cost,preserve unknown instead of silently using zero,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-03/,NOT_RUN
CR11-TCO-04,TCO,Unit separation,"BTX atoms, USD cents and task units",import cost lines,reject ambiguous or mismatched unit arithmetic,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-04/,NOT_RUN
CR11-TCO-05,TCO,Hardware counted once,An upfront hardware purchase plus annual allocated costs,produce total cost,detect duplicated hardware allocation or require explicit allocation policy,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-05/,NOT_RUN
CR11-TCO-06,TCO,Utilization sensitivity,Same hardware with low and high accepted-task utilization,compare ownership cases,recalculate per-task results without fixed universal savings,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-06/,NOT_RUN
CR11-TCO-07,TCO,Horizon boundaries,"A malformed, zero or excessive planning horizon",submit a workload,reject or enforce the finite supported horizon,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-07/,NOT_RUN
CR11-TCO-08,TCO,Forecast versus actual,A predicted saving and later measured report,aggregate a board statement,keep assumptions and actual observations separate,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-08/,NOT_RUN
CR11-TCO-09,TCO,Private workload inputs,A local feasibility summary without raw prompts,run hosted comparison,complete without collecting private prompt or KV state,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-09/,NOT_RUN
CR11-TCO-10,TCO,External route stays planning,An external-service route wins the comparison,accept its plan preview,do not route inference calls or purchase service automatically,Native Decimal calculator + evidence fixtures,modelnet_cr11_tco_tests,evidence/CR11-TCO-10/,NOT_RUN
CR11-APPROVE-01,APPROVE,Distinct-person quorum,A two-person rule and two sessions of one person,approve through both sessions,count one person and keep quorum pending,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-01/,NOT_RUN
CR11-APPROVE-02,APPROVE,Initiator exclusion,An initiator-excluded committee rule,have the initiator approve,record or reject as specified but never count toward quorum,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-02/,NOT_RUN
CR11-APPROVE-03,APPROVE,Changed allocation,An approved immutable plan,"change amount, payer, recipient or recipe dependency",invalidate the old matching approval before execution,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-03/,NOT_RUN
CR11-APPROVE-04,APPROVE,Changed policy,A prepared decision under an older reserve policy,revoke or replace policy generation,deny submit until authority matches,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-04/,NOT_RUN
CR11-APPROVE-05,APPROVE,Changed committee,An approval under a superseded rule,execute with that decision,recheck rule digest and current accepted membership,Native approval service + real identity lab,modelnet_cr11_approve_tests,evidence/CR11-APPROVE-05/,NOT_RUN
