journey_id,title,native_boost_case,native_unit,process_e2e,live_cex_idp,live_hsm,live_cuda,status,evidence_path,notes
J01,Free hosted discovery,hcp_j01_free_hosted_discovery,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,n/a,NOT_RUN,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J01/,feature_modelnet_hcp.py + journeys: walletless /profile /search /health /packages. Not live CEX.
J02,Locality wins,hcp_j02_locality_wins,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,n/a,n/a,NOT_RUN,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J02/,Native PlanLocal prefers LAN. Process E2E: public search has no local_paths.
J03,Release funding,hcp_j03_release_funding,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,NOT_RUN,n/a,NATIVE_UNIT_PASS+OAUTH_LAB_PASS+PROCESS_E2E_PASS,evidence/J03/,Loopback /lab/* PKCE+DPoP quote/intent/authorize/submit 202. Not live IdP/HSM/native tx.
J04,Conversion partial success,hcp_j04_conversion_partial_success,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,NOT_RUN,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J04/,Idempotent client_operation_id. Live conversion adapter NOT_RUN.
J05,Unknown broadcast,hcp_j05_unknown_broadcast,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,NOT_RUN,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J05/,Submit retry does not mint a second intent. Lab signed_tx_hex identity when present.
J06,No award and refund,hcp_j06_no_award_and_refund,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,NOT_RUN,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J06/,Process cancel path. Live custodial refund NOT_RUN.
J07,Subscription under concurrency,hcp_j07_subscription_under_concurrency,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,n/a,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J07/,Process create/revoke subscription + at-least-once events. Not multi-replica outbox.
J08,Malicious provider,hcp_j08_malicious_provider,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,n/a,n/a,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J08/,btx-hosted accept of shell field fail-closed.
J09,Provider exit,hcp_j09_provider_exit,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,n/a,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J09/,Two independently configured loopback origins. Finance not replayed across A/B.
J10,Custody failure drill,hcp_j10_custody_failure_drill,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,NOT_RUN,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J10/,Export self_custody_claimed=false. Live HSM NOT_RUN.
J11,Fleet browser journey,hcp_j11_fleet_browser_journey,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,n/a,n/a,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J11/,enroll/confirm/handoffs outbound_only/revoke. Not a real browser.
J12,Privacy and service independence,hcp_j12_privacy_and_service_independence,NATIVE_UNIT_PASS,PROCESS_E2E_PASS,NOT_RUN,n/a,NOT_RUN,NATIVE_UNIT_PASS+PROCESS_E2E_PASS,evidence/J12/,Export omits PROMPT. well-known not_live_cex_idp. Live CUDA NOT_RUN.
