kind,id,family,title,method,path,native_file,boost_case,process_file,evidence_tier,quality,handler,notes
OP,getCognitiveReserveExtension,OPS,GET /btx/hcp/v1/extensions/cognitive-reserve,GET,/btx/hcp/v1/extensions/cognitive-reserve,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_01_base_route_preservation,test/functional/feature_modelnet_cr11.py; test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,GET extension on funding lab; walletless returns PROFILE_UNSUPPORTED
OP,createEntityLink,OPS,POST /btx/hcp/v1/reserve/entities/links,POST,/btx/hcp/v1/reserve/entities/links,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_10_relationship_revocation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/entities/links then revoke
OP,listEntityLink,OPS,GET /btx/hcp/v1/reserve/entities/links,GET,/btx/hcp/v1/reserve/entities/links,src/test/modelnet_cr11_integrate_tests.cpp,cr11_integrate_07_real_route_coverage,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,INTEGRATE-07 GET list only; no item assertions
OP,getEntityLink,OPS,GET /btx/hcp/v1/reserve/entities/links/{id},GET,/btx/hcp/v1/reserve/entities/links/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,HandleCr11Locked GET /reserve/entities/links/{id} exists; no unique Boost or process call
OP,createPortfolio,OPS,POST /btx/hcp/v1/reserve/portfolios,POST,/btx/hcp/v1/reserve/portfolios,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_09_independent_currencies,test/functional/feature_modelnet_cr11.py; test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/portfolios
OP,listPortfolio,OPS,GET /btx/hcp/v1/reserve/portfolios,GET,/btx/hcp/v1/reserve/portfolios,src/test/modelnet_cr11_integrate_tests.cpp,cr11_integrate_07_real_route_coverage,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,INTEGRATE-07 GET list
OP,getPortfolio,OPS,GET /btx/hcp/v1/reserve/portfolios/{id},GET,/btx/hcp/v1/reserve/portfolios/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /reserve/portfolios/{id} handler only
OP,createReservePolicy,OPS,POST /btx/hcp/v1/reserve/policies,POST,/btx/hcp/v1/reserve/policies,src/test/modelnet_cr11_value_tests.cpp,cr11_value_05_replenishment_cooldown,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/policies
OP,listReservePolicy,OPS,GET /btx/hcp/v1/reserve/policies,GET,/btx/hcp/v1/reserve/policies,src/test/modelnet_cr11_integrate_tests.cpp,cr11_integrate_07_real_route_coverage,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,INTEGRATE-07 GET list
OP,getReservePolicy,OPS,GET /btx/hcp/v1/reserve/policies/{id},GET,/btx/hcp/v1/reserve/policies/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /reserve/policies/{id} handler only
OP,createWorkloadProfile,OPS,POST /btx/hcp/v1/capital/workloads,POST,/btx/hcp/v1/capital/workloads,src/test/modelnet_cr11_journey_tests.cpp,cr11_j01_journey,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/workloads
OP,listWorkloadProfile,OPS,GET /btx/hcp/v1/capital/workloads,GET,/btx/hcp/v1/capital/workloads,src/test/modelnet_cr11_integrate_tests.cpp,cr11_integrate_07_real_route_coverage,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET list; leftover journey loop
OP,getWorkloadProfile,OPS,GET /btx/hcp/v1/capital/workloads/{id},GET,/btx/hcp/v1/capital/workloads/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/workloads/{id} handler only
OP,createApprovalRule,OPS,POST /btx/hcp/v1/capital/approval-rules,POST,/btx/hcp/v1/capital/approval-rules,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_06_membership_expiry,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/approval-rules
OP,listApprovalRule,OPS,GET /btx/hcp/v1/capital/approval-rules,GET,/btx/hcp/v1/capital/approval-rules,src/test/modelnet_cr11_integrate_tests.cpp,cr11_integrate_07_real_route_coverage,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET list
OP,getApprovalRule,OPS,GET /btx/hcp/v1/capital/approval-rules/{id},GET,/btx/hcp/v1/capital/approval-rules/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/approval-rules/{id} handler only
OP,createResearchProgram,OPS,POST /btx/hcp/v1/capital/programs,POST,/btx/hcp/v1/capital/programs,src/test/modelnet_cr11_program_tests.cpp,cr11_program_01_outcome_defined_objective,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/programs
OP,listResearchProgram,OPS,GET /btx/hcp/v1/capital/programs,GET,/btx/hcp/v1/capital/programs,src/test/modelnet_cr11_program_tests.cpp,cr11_program_04_no_invented_pool,,NATIVE,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET list plus INTEGRATE-07
OP,getResearchProgram,OPS,GET /btx/hcp/v1/capital/programs/{id},GET,/btx/hcp/v1/capital/programs/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/programs/{id} handler only
OP,assignEntityRoles,OPS,POST /btx/hcp/v1/reserve/entities/roles,POST,/btx/hcp/v1/reserve/entities/roles,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_05_self_escalation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/entities/roles self-escalation 403
OP,revokeEntityLink,OPS,POST /btx/hcp/v1/reserve/entities/links/{id}/revoke,POST,/btx/hcp/v1/reserve/entities/links/{id}/revoke,src/test/modelnet_cr11_entity_tests.cpp,cr11_entity_10_relationship_revocation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/entities/links/{id}/revoke
OP,getReserveSnapshot,OPS,GET /btx/hcp/v1/reserve/portfolios/{id}/snapshot,GET,/btx/hcp/v1/reserve/portfolios/{id}/snapshot,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_01_capacity_formula,test/functional/feature_modelnet_cr11.py; test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,GET snapshot allocation_capacity_atoms=250
OP,revokeReservePolicy,OPS,POST /btx/hcp/v1/reserve/policies/{id}/revoke,POST,/btx/hcp/v1/reserve/policies/{id}/revoke,src/test/modelnet_cr11_approve_tests.cpp,cr11_approve_04_changed_policy,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/policies/{id}/revoke
OP,planReserveReplenishment,OPS,POST /btx/hcp/v1/reserve/replenishment/plans,POST,/btx/hcp/v1/reserve/replenishment/plans,src/test/modelnet_cr11_value_tests.cpp,cr11_value_10_suggest_is_read_plan_only,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /reserve/replenishment/plans
OP,createTCOComparison,OPS,POST /btx/hcp/v1/capital/comparisons,POST,/btx/hcp/v1/capital/comparisons,src/test/modelnet_cr11_tco_tests.cpp,cr11_tco_01_worked_ownership_case,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/comparisons; process asserts external=600000
OP,getTCOComparison,OPS,GET /btx/hcp/v1/capital/comparisons/{id},GET,/btx/hcp/v1/capital/comparisons/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/comparisons/{id} handler only
OP,createCapitalPlan,OPS,POST /btx/hcp/v1/capital/plans,POST,/btx/hcp/v1/capital/plans,src/test/modelnet_cr11_journey_tests.cpp,cr11_j01_journey,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/plans
OP,getCapitalPlan,OPS,GET /btx/hcp/v1/capital/plans/{id},GET,/btx/hcp/v1/capital/plans/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/plans/{id} handler only
OP,createAllocationPlan,OPS,POST /btx/hcp/v1/capital/allocations,POST,/btx/hcp/v1/capital/allocations,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_06_duplicate_operation,test/functional/feature_modelnet_cr11.py; test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/allocations; process also GRAPH_CYCLE
OP,getAllocationPlan,OPS,GET /btx/hcp/v1/capital/allocations/{id},GET,/btx/hcp/v1/capital/allocations/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/allocations/{id} handler only
OP,createApprovalRequest,OPS,POST /btx/hcp/v1/capital/approvals,POST,/btx/hcp/v1/capital/approvals,src/test/modelnet_cr11_approve_tests.cpp,cr11_approve_10_role_body_mismatch,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/approvals
OP,getApprovalRequest,OPS,GET /btx/hcp/v1/capital/approvals/{id},GET,/btx/hcp/v1/capital/approvals/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/approvals/{id} handler only
OP,recordApprovalDecision,OPS,POST /btx/hcp/v1/capital/approvals/{id}/decisions,POST,/btx/hcp/v1/capital/approvals/{id}/decisions,src/test/modelnet_cr11_approve_tests.cpp,cr11_approve_10_role_body_mismatch,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/approvals/{id}/decisions
OP,listApprovalDecisions,OPS,GET /btx/hcp/v1/capital/approvals/{id}/decisions,GET,/btx/hcp/v1/capital/approvals/{id}/decisions,src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/approvals/{id}/decisions handler only
OP,executeAllocation,OPS,POST /btx/hcp/v1/capital/allocations/{id}/execute,POST,/btx/hcp/v1/capital/allocations/{id}/execute,src/test/modelnet_cr11_reserve_tests.cpp,cr11_reserve_02_protected_floor,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST execute; not invoked by process functionals
OP,getCapitalExecution,OPS,GET /btx/hcp/v1/capital/executions/{id},GET,/btx/hcp/v1/capital/executions/{id},src/modelnet/hcp_cr11_engine.inc.cpp,,,NOT_RUN,UNHIT,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/executions/{id} handler only
OP,cancelCapitalExecution,OPS,POST /btx/hcp/v1/capital/executions/{id}/cancel,POST,/btx/hcp/v1/capital/executions/{id}/cancel,src/test/modelnet_cr11_plan_tests.cpp,cr11_plan_08_pre_effect_cancellation,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST cancel; LOCAL-08 DMA 409
OP,listCapabilityPositions,OPS,GET /btx/hcp/v1/capital/positions,GET,/btx/hcp/v1/capital/positions,src/test/modelnet_cr11_hold_tests.cpp,cr11_hold_04_shared_base_allocation,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,WEAK,src/modelnet/hcp_cr11_engine.inc.cpp,GET list
OP,getCapabilityPosition,OPS,GET /btx/hcp/v1/capital/positions/{id},GET,/btx/hcp/v1/capital/positions/{id},src/test/modelnet_cr11_hold_tests.cpp,cr11_hold_07_retirement_is_not_deletion,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,GET /capital/positions/{id}
OP,createCapabilityPosition,OPS,POST /btx/hcp/v1/capital/positions,POST,/btx/hcp/v1/capital/positions,src/test/modelnet_cr11_comp_tests.cpp,cr11_comp_06_no_package_version_inflation,test/functional/feature_modelnet_cr11_journeys.py,NATIVE+PROCESS,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST positions; Core v4 reject
OP,updateCapabilityLifecycle,OPS,POST /btx/hcp/v1/capital/positions/{id}/lifecycle,POST,/btx/hcp/v1/capital/positions/{id}/lifecycle,src/test/modelnet_cr11_hold_tests.cpp,cr11_hold_06_lock_update,,NATIVE,REAL,src/modelnet/hcp_cr11_engine.inc.cpp,POST /capital/positions/{id}/lifecycle
