family,row,status,evidence_path,reason
READINESS-0348,flip CLIENT_VERSION_IS_RELEASE,NOT_READY,audit/final-convergence-operator-report.md;audit/final-convergence-baseline.md,restamped 2026-09-17 against HEAD 573b4aa4 with a dirty 0.34.8 working tree; native and loopback-process tiers are executed but no row proves the system under adversarial multi-GiB / MinIO / mixed-0.34.7 / GUI conditions; the WITH_GAP and IN_PROGRESS rows below are the blockers and none of them may be read as PASS; nothing was compiled for this restamp; counts across 76 rows are 33 PASS / 0 FAIL / 30 NOT_RUN / 7 WITH_GAP / 1 IN_PROGRESS / 4 DEFERRED_WITH_EVIDENCE / 1 NOT_READY; WITH_GAP (the row was executed but does not prove the claim as titled) and IN_PROGRESS (a fix exists in source but is not registered or run) and NOT_READY are new statuses at this restamp so the vocabulary table and the 34/0/27/4 counts in audit/acceptance-matrix-notes.md are stale until that file's owner restamps them
HCP-native,HCP/1 34 operations native + loopback process tier,PASS,audit/0348-remaining-unique-todos.md;audit/hcp-evidence.md;test/functional/feature_modelnet_hcp.py,381 HCP/CR11/PRIV-08/unique-todo Boost cases entered with 0 failures on this tree (the HCP share is 132: 15 families x 8 plus J01-J12) and feature_modelnet_hcp.py plus feature_modelnet_hcp_journeys.py exit 0 against loopback btx-hcpd; that run is the prior native round and was not repeated for this restamp; live CEX IdP and live custody HSM stay NOT_RUN per audit/hcp-not-run.md
CR11-native,cognitive-reserve negotiated extension native tier,PASS,audit/0348-remaining-unique-todos.md;audit/cr11-native-acceptance.csv;test/functional/feature_modelnet_cr11.py,190 CR11 cases plus J01-J20 sit inside the same 381-case run and feature_modelnet_cr11.py plus feature_modelnet_cr11_journeys.py exit 0; CR11 is one negotiated extension inside the single HcpEngine (audit/architecture-canonicalization.md) default-off with 403 PROFILE_UNSUPPORTED when not negotiated; live IdP/HSM and GPU DMA stay NOT_RUN per audit/cr11-not-run.md
CR11-ux-assertions,CR11 portal screen and localized-unit cases,WITH_GAP,src/test/modelnet_cr11_ux_tests.cpp;audit/skipped-and-partial-2026-09-17.md,cr11_ux_01 was rewritten this round to resolve six real engine objects so it is no longer a literal searching itself; cr11_ux_07 (:163) still searches a string literal for its own substring and cr11_ux_09 (:175) is character-for-character modelnet_cr11_reserve_tests.cpp:14; two spec ids are therefore still closed by unfalsifiable or duplicate assertions that the 381-case total counts as passes
CONV-05-swarm-live,3-seeder loopback retrieve,WITH_GAP,contrib/modelnet/e2e-swarm-live.sh;audit/e2e/swam-live.log;audit/r1-swarm.md,the script really ran on HEAD btx-modeld (26897416 bytes) and exits PASS with 4 helpers ready pq1; 3 model-plane contacts; plan FREE_ONLY; failed_contacts=0; automatic_spend_atoms=0 - but the fixture is 45 bytes / 1 piece so it proves reachability not swarm behaviour: the run takes the whole-file stream path with pieces_committed=0 and bytes_committed=45; observed_sources=0; last_peer is one seeder; PickRarestFirst is never invoked once; audit/e2e/piece-ownership-trace.json still hardcodes complete=true and piece_count=1 instead of deriving them from the observed manifest
CONV-05-overlapping-ranges,non-identical piece ranges,PASS,src/test/modelnet_convergence_tests.cpp::conv_live_session_picker_overlapping_ranges,in-process TransferSession+PickRarestFirst over 3 non-identical HAVE ranges; not real sockets; the case drives a hand-written 6-round reschedule loop that production does not have (audit/r1-swarm.md R1-03) so it is a library proof and not a claim about the shipped path
CONV-05-mid-transfer-failover,kill seeder mid-piece,NOT_RUN,audit/e2e/failover-trace.json,1-piece 45-byte artifact completes before a seeder can be killed mid-piece; no multi-GiB artifact exists to hold a transfer open; the trace file records NOT_RUN_MID_TRANSFER with that reason rather than a fabricated pass
R1-picker-production-wiring,piece scheduler reaches production,WITH_GAP,src/modelnet/helper.cpp;audit/r1-swarm.md,restamped against source observed 2026-09-17T16:26Z - helper.cpp is being edited during this restamp so cited by symbol not line; audit/r1-swarm.md line numbers are stale; fixed since that review: the whole-file shortcut is taken only when extras is empty so a multi-peer retrieve enters the piece path; ObservePeer now has seven call sites including the success path so the leftover pass sees populated PeerMetrics; CancelAfterCommit has a production call site; piece_rid keeps every request id per piece so an endgame loser is NoteFailed and its credit released instead of being overwritten and stranded; leftover pieces stay on the main pool and pieces_committed no longer double-counts; still REAL at HEAD: there is no rescheduling loop (one main PickRarestFirst pass plus one leftover pass) so the first pass still reads metrics from a session with no requests in flight; ClassifyPeer and SummarizeSwarm have zero production callers so no peer is classified SLOW or SNUBBED; service_id is never populated so DiversityKey falls back to the endpoint and N helper ports on one host count as N sources; pid.netgroup is a bare host with max_per_netgroup = 8 which caps a same-host swarm per pass; and no executed evidence exercises any of it because the only live fixture is 45 bytes
CONV-06-upload-drr,mixed classes + 10000 queued,PASS,src/test/modelnet_convergence_tests.cpp::conv_upload_scheduler_mixed_and_scale,in-process DRR with mixed classes and 10000 queued; not real sockets
CONV-06-real-sockets,mixed peer sockets,NOT_RUN,n/a,no 5-peer socket fairness lab in this tree; DRR fairness is proven only in-process
