operation_id,method,path,profile,scope,native_entry
getProviderProfile,GET,/profile,DISCOVERY,public,HcpEngine::Handle
searchCapabilities,POST,/capabilities/search,DISCOVERY,catalog:read,HcpEngine::Handle
getPackage,GET,/packages/{id},DISCOVERY,public,HcpEngine::Handle
getEconomy,GET,/economy/{id},DISCOVERY,catalog:read,HcpEngine::Handle
createHandoff,POST,/handoffs,HANDOFF,handoffs:create,HcpEngine::Handle
getHandoff,GET,/handoffs/{id},HANDOFF,handoffs:create,HcpEngine::Handle
enrollDevice,POST,/devices/enroll,HANDOFF,devices:enroll,HcpEngine::Handle
confirmDevice,POST,/devices/{id}/confirm,HANDOFF,devices:enroll,HcpEngine::Handle
revokeDevice,POST,/devices/{id}/revoke,HANDOFF,devices:enroll,HcpEngine::Handle
getDeviceHandoffs,GET,/devices/{id}/handoffs,HANDOFF,events:read,HcpEngine::Handle
reportReadiness,POST,/devices/{id}/reports,FLEET,devices:report,HcpEngine::Handle
getBalances,GET,/treasury/balances,CUSTODY,account:read,HcpEngine::Handle
createFundingQuote,POST,/finance/quotes,FUNDING,quotes:create,HcpEngine::Handle
createFinanceIntent,POST,/finance/intents,FUNDING,intents:create,HcpEngine::Handle
getFinanceIntent,GET,/finance/intents/{id},FUNDING,account:read,HcpEngine::Handle
authorizeFinanceIntent,POST,/finance/intents/{id}/authorize,FUNDING,intents:authorize,HcpEngine::Handle
submitFinanceIntent,POST,/finance/intents/{id}/submit,FUNDING,intents:submit,HcpEngine::Handle
cancelFinanceIntent,POST,/finance/intents/{id}/cancel,FUNDING,intents:cancel,HcpEngine::Handle
getFinanceReceipts,GET,/finance/intents/{id}/receipts,FUNDING,account:read,HcpEngine::Handle
getFinanceReceipt,GET,/finance/receipts/{id},FUNDING,account:read,HcpEngine::Handle
createAccountPolicy,POST,/policies,FUNDING,policies:admin,HcpEngine::Handle
getAccountPolicy,GET,/policies/{id},FUNDING,account:read,HcpEngine::Handle
revokeAccountPolicy,POST,/policies/{id}/revoke,FUNDING,policies:admin,HcpEngine::Handle
createSubscription,POST,/subscriptions,FLEET,subscriptions:write,HcpEngine::Handle
revokeSubscription,POST,/subscriptions/{id}/revoke,FLEET,subscriptions:write,HcpEngine::Handle
getEvents,GET,/events,HANDOFF,events:read,HcpEngine::Handle
streamEvents,GET,/events/stream,HANDOFF,events:read,HcpEngine::Handle
createExport,POST,/exports,HANDOFF,exports:create,HcpEngine::Handle
getExport,GET,/exports/{id},HANDOFF,exports:create,HcpEngine::Handle
createResearchDraft,POST,/research/drafts,FUNDING,research:publish,HcpEngine::Handle
validateResearchDraft,POST,/research/drafts/{id}/validate,FUNDING,research:publish,HcpEngine::Handle
publishResearchDraft,POST,/research/drafts/{id}/publish,FUNDING,research:publish,HcpEngine::Handle
getResearchSubmission,GET,/research/submissions/{id},DISCOVERY,catalog:read,HcpEngine::Handle
getOperation,GET,/operations/{id},HANDOFF,account:read,HcpEngine::Handle
accepthcphandoff,unix,helper,HANDOFF,owner-local,DispatchHcpRpc
