# BTX-AHP-001 native acceptance. Executed 2026-09-17: 122/122 modelnet_ahp* PASS.
# See agent-package-acceptance-native.csv for PASS/DEFERRED/NOT_RUN per id.
# Python 63 reference tests are not native PASS (AHP-COMP-06).
test_id,group,scenario,fixture,steps,pass_condition,required_evidence,evidence_path,candidate_fingerprint,command,status,reviewer
AHP-FRM-01,Framing and canonical byte language,Header golden,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Encode a known payload; compare the first 68 bytes with the independent vector.,"Magic, flags, little-endian length and SHA-384 match byte for byte; offset 68 is the first payload byte.","Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-02,Framing and canonical byte language,Truncation and trailing bytes,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Cut at every header boundary and representative payload offsets; append one byte.,Every incomplete or trailing representation is rejected before it can be treated as an actionable package.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-03,Framing and canonical byte language,Length bomb,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,"Set length to 2^64−1 and to 4 MiB plus one, with a tiny actual input.","Reject before payload allocation; no arithmetic wrap, unbounded read or fall-through.","Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-04,Framing and canonical byte language,Digest corruption,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Flip one payload byte without changing the frame digest.,Return integrity failure and do not present embedded guidance as authenticated.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-05,Framing and canonical byte language,Canonical number language,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,"Supply float, exponent, NaN, infinity, negative zero and values beyond exact JSON integer range.",Reject each prohibited numeric form; monetary strings are never coerced into floating-point values.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-06,Framing and canonical byte language,Duplicate and unknown fields,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Repeat a key in raw JSON and add an undeclared core field.,Duplicate detection happens before semantic use; strict Core-v2 schema rejects the new field.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-07,Framing and canonical byte language,Unicode preservation,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Encode composed and decomposed Unicode documents; test lone surrogates and malformed UTF-8.,"Valid strings retain distinct byte identities; invalid strings are rejected, not normalized or replaced.","Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-08,Framing and canonical byte language,Depth and node limits,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,"Construct maximum accepted depth/node counts, then exceed each independently.","Bounded rejection without stack exhaustion, excessive allocations or partial publication.","Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-09,Framing and canonical byte language,Canonical serializer parity,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Serialize the same semantic object in native C++ and reference Python with reordered input maps and escaped text.,Canonical payload and core digest match exactly; pretty JSON is not accepted as canonical wire bytes.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
AHP-FRM-10,Framing and canonical byte language,Core-v1 compatibility,Use a valid unsigned Core-v2 REGTEST descriptor and a native reader instrumented for allocations and side effects.,Read the supplied legacy fixture and existing private-tree golden v1 fixtures.,Old bytes and identity domains remain intact; v1 does not gain implicit runtime authority.,"Native parser log, rejection code, allocation ceiling and golden bytes.",,,,NOT_RUN,
