anonymous_case,measure,value,unit
A,new_institutional_customers,600,count
A,average_reserve,3000000,USD
A,average_custody,1800000000,USD
A,custody_bps,8,bps
A,executed_turnover,6,per_year
A,execution_bps,4,bps
A,administered_funding,500000000,USD
A,admin_bps,25,bps
A,gross_financial_revenue,7010000,USD_per_year
B,businesses,25000,count
B,average_reserve,60000,USD
B,separate_supplier_reserves,500000000,USD
B,total_custody,2000000000,USD
C,intermediaries,200,count
C,average_end_client_balances,12000000,USD
C,serviced_custody,2400000000,USD
D,businesses,40000,count
D,business_average,25000,USD
D,institutional_portfolios,75,count
D,institutional_average,5000000,USD
D,product_assets,1375000000,USD
D,internal_reallocation,875000000,USD
D,external_inflows,500000000,USD
E,retail_customers,150000,count
E,retail_average,4000,USD
E,managed_portfolios,300,count
E,managed_average,2000000,USD
E,AUC_with_overlap,1200000000,USD
E,AUM_subset,600000000,USD
F,strategy_AUM,5000000000,USD
F,internal_reallocation,3000000000,USD
F,external_inflows,2000000000,USD
F,management_bps,20,bps
F,management_fee,10000000,USD_per_year
F,technology_clients,50,count
F,technology_contract,200000,USD_per_year
F,technology_revenue,10000000,USD_per_year
G,businesses,1000,count
G,average_reserve,50000,USD
G,custody_or_administered_by_role,50000000,USD
