catalogue_id,title,boost_case,file,suite,registered_in_cmake,status,notes
CR12-NEUTRAL-01,No brand dispatch,cr12_neutral_01,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-02,Fresh entrant,cr12_neutral_02,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-03,No default financial host,cr12_neutral_03,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-04,Functional profiles only,cr12_neutral_04,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-05,Reference tenant neutrality,cr12_neutral_05,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-06,Attribution survives,cr12_neutral_06,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-07,No package authority,cr12_neutral_07,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-08,White-label parity,cr12_neutral_08,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-09,No global registry requirement,cr12_neutral_09,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEUTRAL-10,Renaming invariance,cr12_neutral_10,src/test/modelnet_cr12_neutral_tests.cpp,modelnet_cr12_neutral_tests,yes,MAPPED,
CR12-NEGOTIATE-01,Extension parent binding,cr12_negotiate_01,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-02,Old routes preserved,cr12_negotiate_02,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-03,Unknown critical type,cr12_negotiate_03,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-04,Domain separation,cr12_negotiate_04,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-05,Canonical vectors,cr12_negotiate_05,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-06,Expired extension,cr12_negotiate_06,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-07,Old server behavior,cr12_negotiate_07,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-08,No Core version change,cr12_negotiate_08,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-09,Sequence rollback,cr12_negotiate_09,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-NEGOTIATE-10,Key rotation,cr12_negotiate_10,src/test/modelnet_cr12_negotiate_tests.cpp,modelnet_cr12_negotiate_tests,yes,MAPPED,
CR12-ROLE-01,Analytics-only service,cr12_role_01,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-02,Discovery-only service,cr12_role_02,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-03,Role effect match,cr12_role_03,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-04,Missing production route,cr12_role_04,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-05,Unsupported network,cr12_role_05,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-06,Disabled adapter,cr12_role_06,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-07,Conformance specificity,cr12_role_07,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-08,Specialist composition,cr12_role_08,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-09,Effect dependency,cr12_role_09,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-ROLE-10,No brand priority,cr12_role_10,src/test/modelnet_cr12_role_tests.cpp,modelnet_cr12_role_tests,yes,MAPPED,
CR12-BIND-01,Owner acceptance,cr12_bind_01,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-02,Wrong entity,cr12_bind_02,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-03,Least effects,cr12_bind_03,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-04,Audience isolation,cr12_bind_04,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-05,Revocation,cr12_bind_05,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-06,Recovery after revoke,cr12_bind_06,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-07,Provider substitution,cr12_bind_07,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-08,Expiry during read,cr12_bind_08,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-09,Concurrent updates,cr12_bind_09,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-BIND-10,No secret export,cr12_bind_10,src/test/modelnet_cr12_bind_tests.cpp,modelnet_cr12_bind_tests,yes,MAPPED,
CR12-ASSET-01,Namespaced identity,cr12_asset_01,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-02,Identifier collision,cr12_asset_02,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-03,Native network binding,cr12_asset_03,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-04,No synthetic security,cr12_asset_04,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-05,Rights issuer,cr12_asset_05,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-06,Transfer restriction,cr12_asset_06,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-07,Public sponsorship,cr12_asset_07,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-08,Entity relationship,cr12_asset_08,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-09,Expired rights,cr12_asset_09,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
CR12-ASSET-10,Native funds unchanged,cr12_asset_10,src/test/modelnet_cr12_asset_tests.cpp,modelnet_cr12_asset_tests,yes,MAPPED,
