requirement_id,section,short_requirement,implementation_files,implementation_symbols,tests,evidence_path,status,reviewer,notes
V-01,3.2,manifest identity rederived and compared before catalog mutation,src/modelnet/verified_manifest.cpp;src/modelnet/catalog.cpp,VerifyManifestAgainstRequest;ModelCatalog::InstallFromManifest,src/test/modelnet_network02_tests.cpp;src/test/modelnet_convergence_tests.cpp,src/test/modelnet_network02_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,native unit; ID_MISMATCH before payload write
V-02,3.2,unknown-artifact PutFetchedPiece explicitly rejected,src/modelnet/catalog.cpp,ModelCatalog::PutFetchedPiece,src/test/modelnet_convergence_tests.cpp,src/test/modelnet_convergence_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,unknown artifact + wrong file index both rejected
V-03,3.2,global credit/inflight ceilings cannot be bypassed by rarity,src/modelnet/piece_picker.cpp;src/modelnet/transfer_session.cpp,CreditBroker;GlobalTransferCredits;PickRarestFirst,src/test/modelnet_network02_tests.cpp;src/test/modelnet_r1_swarm_tests.cpp,src/test/modelnet_network02_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,rare lane reserved under CreditBroker; empty window means no allocation
V-04,3.2,diversity key does not collapse identity/netgroup/endpoint,src/modelnet/piece_picker.cpp,DiversityKey;NetgroupKey,src/test/modelnet_convergence_tests.cpp,src/test/modelnet_convergence_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,same netgroup != 5 independent origins
V-05,3.2,live request window from measured bytes/RTT with rescheduling,src/modelnet/transfer_session.cpp;src/modelnet/helper.cpp,TransferSession;RequestWindowBytes;RetrieveFreeFromPeer,src/test/modelnet_convergence_tests.cpp;src/test/modelnet_r1_swarm_tests.cpp,audit/r1-swarm.md,IMPLEMENTED_WITH_GAP,continue-20260917-round3,"session exists; audit/r1-swarm.md records ObservePeer never called on the live path, so throughput_bps stays unmeasured"
V-06,3.2,worker ownership and piece commits are race-safe,src/modelnet/helper.cpp;src/modelnet/transfer_session.h,ThreadJoin;TransferSession::Cancel,src/test/modelnet_network02_tests.cpp,src/test/modelnet_network02_tests.cpp,IMPLEMENTED_NOT_YET_PROVEN,continue-20260917-round3,RAII ThreadJoin present; ASan/TSan UAF run NOT_RUN (Release-only tree per disk rule)
V-07,3.2,large release wrapping is streaming,src/modelnet/crypto.h;src/modelnet/crypto.cpp,RELEASE_WRAP_MAX_BYTES;ReleaseWrapAllowed;WrapBtxEnc2,src/test/modelnet_network02_audit_tests.cpp,src/test/modelnet_network02_audit_tests.cpp,IMPLEMENTED_WITH_GAP,continue-20260917-round3,refuses >64 MiB instead of streaming AEAD; a 400 GiB artifact still cannot be wrapped
V-08,3.2,imported provenance is distinct from signed original authority,src/modelnet/source_huggingface.cpp;src/modelnet/source_policy.cpp,HUGGINGFACE_PROVENANCE_NOTE;SourceLocatorAllowed,src/test/modelnet_network02_import_tests.cpp,src/test/modelnet_network02_import_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,hashes prove bytes not authorship
AUD-01,3.3,InstallFromManifest binds canonical IDs on the real call path,src/modelnet/catalog.cpp;src/modelnet/verified_manifest.cpp,VerifyManifestAgainstRequest,src/test/modelnet_network02_tests.cpp,src/test/modelnet_network02_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,regression vs public baseline 42a5c4ec
AUD-02,3.3,PutFetchedPiece unknown-artifact rejection traced to caller,src/modelnet/catalog.cpp,PutFetchedPiece,src/test/modelnet_convergence_tests.cpp,src/test/modelnet_convergence_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,
AUD-03,3.3,RetrieveFreeFromPeer audited against live metrics,src/modelnet/helper.cpp,RetrieveFreeFromPeer,src/test/modelnet_convergence_tests.cpp;contrib/modelnet/e2e-swarm-live.sh,audit/e2e/swam-live.log,IMPLEMENTED_WITH_GAP,continue-20260917-round3,45-byte 1-piece fixture took the whole-file path; overlapping ranges proven in-process only
AUD-04,3.3,rare pieces cannot bypass request windows,src/modelnet/piece_picker.cpp,PickRarestFirst,src/test/modelnet_network02_tests.cpp,src/test/modelnet_network02_tests.cpp,IMPLEMENTED_AND_PROVEN,continue-20260917-round3,
