gap_id,priority,files,symbols,finding,required_fix,test_group,basis
GAP-01,CRITICAL,src/modelnet/search.cpp,SearchRecordPreimage / PutStr,Incomplete signed fields and truncating string helper,"All authenticated fields canonical, bounded and signed; field-by-field mutations rejected",AUTH,OBSERVED_STATIC
GAP-02,CRITICAL,src/modelnet/search.cpp,SearchIndex::Put / Tombstone,Tombstone path before verification,No mutation before signature+issuer+sequence+quota checks,AUTH,OBSERVED_STATIC
GAP-03,CRITICAL,src/modelnet/search.cpp,SearchIndex::Put,Higher sequence from unrelated signer can replace claim,Issuer identity/delegation is immutable authority; unrelated claims separated,AUTH,OBSERVED_STATIC
GAP-04,HIGH,src/modelnet/search.cpp,SearchRecordFromJson / verification paths,Nonempty signature and serialized verification flags confused with verified status,Derived verification state only; disk/network revalidation,AUTH,OBSERVED_STATIC
GAP-05,HIGH,src/modelnet/search.cpp,ParseSearchQuery / Search / MergeRemoteSearchHits,Filters/sort and hydration mismatch,Apply supported filters/sorts after canonical verified view; explicit unknown,SEARCH,OBSERVED_STATIC
GAP-06,HIGH,src/modelnet/search.cpp,ExportSince / List / Search,Ignored change sequence and incomplete cursor semantics,"Durable local journal, snapshot/cursor epochs, gap tests",FEED,OBSERVED_STATIC
GAP-07,HIGH,src/modelnet/search.cpp; src/modelnet/helper.cpp,SearchRuntime / network handler,Status/cancel can diverge from live work; unbounded lifecycle structures,"Real async job ownership, cancellation and bounded TTLs",SEARCH,OBSERVED_STATIC
GAP-08,HIGH,src/modelnet/search.cpp,SearchRuntime::Start / IndexPeers,Iterators from different temporary vectors,Take one stable vector snapshot; ASan/UBSan regression,SEARCH,OBSERVED_STATIC
GAP-09,MEDIUM,src/modelnet/search.cpp,NormalizeSearchText / Search,Byte normalization and full record scan instead of robust local index,"Unicode/index semantics, bounded query cost and scale tests",SEARCH,OBSERVED_STATIC
GAP-10,HIGH,src/modelnet/search.cpp; src/modelnet/search.h,ComputeSwarmHealth / UnionCoversAll,Counts and rarity dedupe differ; unknown coverage can be overstated,One bounded deduped per-file observation set; UNKNOWN honest,HEALTH,OBSERVED_STATIC
GAP-11,HIGH,src/modelnet/release.*,ReleaseCampaign / CampaignToJson,Pledge/local state not complete chain-confirmed economics,"Registered outpoint chain index, reorg undo, exact amount joins",CHAIN,OBSERVED_STATIC
GAP-12,CRITICAL,src/wallet/model_funding.cpp,ParseFrozenFundingQuote / MergeHelperCampaign / descriptor expansion,Helper defaults and weak exact-tree checking need strict signer boundary,"User-selected amount, own refund key, exact whole tree/outputs, fees independently checked",WALLET,OBSERVED_STATIC_AND_CALLGRAPH_RECHECK
GAP-13,HIGH,src/modelnet/helper.cpp,browsemodels / getnewmodels / getrecentreleases,Local-index browse paths do not prove current WAN feed,Bounded network sync/search plus consistent public feed composer,FEED,OBSERVED_STATIC
GAP-14,RELEASE_GATE,provider_route / helper / supervisor / governor / Qt,Live path inventory,Presence of functions and names is not integration evidence,Reconcile prior specs to real handlers/tests and explicit omissions,E2E,REQUIRES_RUNTIME_AUDIT
