# Native AHP acceptance from ./bin/test_btx --run_test=modelnet_ahp* plus NETWORK-02 remain/iso on 2026-09-17.
# Grouped 288/288 PASS (AHP + network02* + j05 iso + journey2 iso + erasure I/O + infra + first_run + governor + gap_erasure).
# Python 63 are NOT native PASS.
# Status: PASS = native executed this loop; DEFERRED = honest lab gap; NOT_RUN = operator-gated remainder.
id,native_case,status,remainder
AHP-FRM-01,ahp_frm_01_header_golden,PASS,
AHP-FRM-02,ahp_frm_02_truncation_trailing,PASS,
AHP-FRM-03,ahp_frm_03_length_bomb,PASS,
AHP-FRM-04,ahp_frm_04_digest_corruption,PASS,
AHP-FRM-05,ahp_frm_05_canonical_number_language,PASS,
AHP-FRM-06,ahp_frm_06_duplicate_and_unknown_fields,PASS,
AHP-FRM-07,ahp_frm_07_unicode_preservation,PASS,
AHP-FRM-08,ahp_frm_08_depth_and_node_limits,PASS,
AHP-FRM-09,ahp_frm_09_canonical_serializer_parity,PASS,
AHP-FRM-10,ahp_frm_10_core_v1_compatibility,PASS,
AHP-FRM-11,ahp_frm_11_core_v2_on_legacy_client,PASS,
AHP-FRM-12,ahp_frm_12_critical_extension_collision,PASS,
AHP-DOC-01,ahp_doc_01_required_documents,PASS,
AHP-DOC-02,ahp_doc_02_byte_level_document_hash,PASS,
AHP-DOC-03,ahp_doc_03_document_limits,PASS,
AHP-DOC-04,ahp_doc_04_path_safety,PASS,
AHP-DOC-05,ahp_doc_05_generated_guide_consistency,PASS,
AHP-DOC-06,ahp_doc_06_prompt_injection_instruction,PASS,
AHP-DOC-07,ahp_doc_07_no_workspace_instruction_takeover,PASS,
AHP-DOC-08,ahp_doc_08_safe_terminal_and_gui_rendering,PASS,GUI compile DEFERRED BUILD_GUI=OFF
AHP-DOC-09,ahp_doc_09_generic_first_read,PASS,
AHP-DOC-10,ahp_doc_10_readable_sidecar_mismatch,PASS,
AHP-DOC-11,ahp_doc_11_explicit_safe_extraction,PASS,
AHP-DOC-12,ahp_doc_12_translated_prose,PASS,
AHP-AUTH-01,ahp_auth_01_real_signature_vector,PASS,
AHP-AUTH-02,ahp_auth_02_signed_document_mutation,PASS,
AHP-AUTH-03,ahp_auth_03_signer_identity_mismatch,PASS,
AHP-AUTH-04,ahp_auth_04_unknown_self_signed_author,PASS,
AHP-AUTH-05,ahp_auth_05_observations_outside_core,PASS,
AHP-AUTH-06,ahp_auth_06_provenance_not_authorship,PASS,
AHP-AUTH-07,ahp_auth_07_root_substitution,PASS,
AHP-AUTH-08,ahp_auth_08_finite_multi_stage_authority,PASS,
AHP-AUTH-09,ahp_auth_09_unsigned_preview,PASS,
AHP-AUTH-10,ahp_auth_10_key_rotation_boundaries,PASS,
AHP-INS-01,ahp_ins_01_no_existing_btx_client,PASS,
AHP-INS-02,ahp_ins_02_reuse_installed,PASS,
AHP-INS-03,ahp_ins_03_version_versus_capability,PASS,
AHP-INS-04,ahp_ins_04_freeze_and_rollback,PASS,
AHP-INS-05,ahp_ins_05_binary_mismatch,PASS,
AHP-INS-06,ahp_ins_06_unsafe_archive,PASS,
AHP-INS-07,ahp_ins_07_atomic_failure,PASS,
AHP-INS-08,ahp_ins_08_privilege_escalation,PASS,
AHP-INS-09,ahp_ins_09_first_use_missing_trust,PASS,
AHP-INS-10,ahp_ins_10_offline_cache,PASS,
AHP-VAR-01,ahp_var_01_explicit_selection_wins,PASS,
AHP-VAR-02,ahp_var_02_no_vendor_preference,PASS,
